User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
o,Operator,30-01-2023 | 15:22:04.407,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 15:43:01.806,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,a,Admin
a,Admin,30-01-2023 | 15:45:55.171,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,a,Admin
a,Admin,30-01-2023 | 15:46:03.214,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,a,Admin
a,Admin,30-01-2023 | 15:58:35.830,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:14.604,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,e,Engineer
o,Operator,30-01-2023 | 16:32:21.231,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,e,Engineer
o,Operator,30-01-2023 | 16:32:29.896,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:36.026,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:39.468,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:43.046,TopVision,26,26,0,CodeReader,285,26,104,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:45.535,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:47.359,TopVision,26,26,0,CodeReader,285,26,156,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:49.659,TopVision,26,26,0,CodeReader,285,26,182,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:51.450,TopVision,26,26,0,CodeReader,285,26,208,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:53.216,TopVision,26,26,0,CodeReader,285,26,234,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:32:55.671,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:33:02.866,TopVision,26,26,0,CodeReader,285,26,286,NG,ExceedTotalBatchQty,e,Engineer
o,Operator,30-01-2023 | 16:37:31.819,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:37.066,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:39.835,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:45.343,TopVision,26,26,0,CodeReader,285,26,104,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:50.016,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:53.724,TopVision,26,26,0,CodeReader,285,26,156,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:55.959,TopVision,26,26,0,CodeReader,285,26,182,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:37:58.239,TopVision,26,26,0,CodeReader,285,26,208,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:38:00.704,TopVision,26,26,0,CodeReader,285,26,234,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:38:02.908,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:38:14.596,TopVision,26,26,0,CodeReader,285,26,286,NG,ExceedTotalBatchQty,a,Admin
o,Operator,30-01-2023 | 17:14:10.094,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:14:16.278,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:21.986,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:38.652,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:41.133,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:43.503,TopVision,26,26,0,CodeReader,285,26,104,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:45.598,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:55.680,TopVision,26,26,0,CodeReader,285,26,156,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:15:58.374,TopVision,26,26,0,CodeReader,285,26,182,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:16:00.319,TopVision,26,26,0,CodeReader,285,26,208,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:16:02.685,TopVision,26,26,0,CodeReader,285,26,234,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:16:05.930,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:16:12.176,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:16:35.493,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,a,Admin
o,Operator,30-01-2023 | 17:16:48.432,TopVision,26,26,0,CodeReader,285,10,0,NG,BoxQtyNotMatch,a,Admin
o,Operator,30-01-2023 | 17:21:09.907,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:23:07.651,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:23:14.656,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:23:19.931,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:07.144,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:19.067,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:22.398,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:24.641,TopVision,26,26,0,CodeReader,285,26,104,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:26.936,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:28.795,TopVision,26,26,0,CodeReader,285,26,156,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:30.640,TopVision,26,26,0,CodeReader,285,26,182,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:33.017,TopVision,26,26,0,CodeReader,285,26,208,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:34.845,TopVision,26,26,0,CodeReader,285,26,234,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:36.700,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:35:58.248,TopVision,26,26,0,CodeReader,285,26,286,NG,ExceedTotalBatchQty,o,Engineer
o,Operator,30-01-2023 | 17:36:16.105,TopVision,26,26,0,CodeReader,285,26,312,NG,ExceedTotalBatchQty,a,Admin
o,Operator,30-01-2023 | 17:36:30.101,TopVision,26,26,0,CodeReader,285,26,338,NG,ExceedTotalBatchQty,a,Admin
